#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,phase
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T18:31:36Z,1497,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T19:31:04Z,1497,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T20:30:29Z,1496,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T21:29:56Z,1496,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T22:29:25Z,1495,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-21T23:28:52Z,1494,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T00:28:16Z,1493,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T01:27:43Z,1492,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T02:27:09Z,1491,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T03:26:40Z,1491,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T04:26:10Z,1490,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T06:25:06Z,1488,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T08:24:04Z,1480,load_grams,plant_watering,esp_2_timer_irrigation,post
,,0,2026-03-14T18:00:00Z,2026-03-24T12:00:00Z,2026-03-22T09:23:32Z,1472,load_grams,plant_watering,esp_2_timer_irrigation,post
